證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,本益比,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
19972330,台積電       ,199712,457105,15.24,3.4636,0.89594,1.4164,0.14414,0.22379,0.33985,0.40887,0.55256,223.86,177.18,5.99,6.34,-18.13,-8,-6.3648,1
2303,聯電         ,199712,263536,20.55,9.1333,1.2724,3.3855,0.11146,0.14588,0.14295,0.3882,0.30889,338.15,303.48,5.27,6.8,-41.39,27.37,-18.0049,1
2002,中鋼         ,199712,181781,5.53,2.6209,0.3577,0.42117,0.07789,0.13638,0.22792,0.16015,0.75094,85.46,26.6,4.1,22.41,44.39,63.01,-9.2224,1
1303,南亞         ,199712,175637,14.81,6.6116,0.74949,0.40821,0.035977,0.099458,0.091372,0.061046,1.7644,133.3,80.55,4.36,7,8.65,-15.94,-12.0864,1
2357,華碩         ,199712,166991,158.47,7.0746,2.5962,2.3949,0.30088,0.35697,0.26949,0.32933,0.18643,556.46,476.72,7.6,23.93,52.07,84.82,46.2737,1
1301,台塑         ,199712,157681,17.52,8.6305,0.97932,0.90824,0.053538,0.11364,0.15188,0.10535,1.1227,117.31,70.96,5.93,23.98,6.58,-17.3,-15.9817,1
2311,日月光       ,199712,116446,19.12,2.6482,0.92456,1.0186,0.16394,0.31723,0.18448,0.38786,0.93499,225.63,196.93,7.06,5.05,45.38,276.04,-17.5732,1
2371,大同         ,199712,103194,23.2,16.9343,1.5055,0.91736,0.031894,0.075048,-0.0035061,0.057134,1.353,134.41,92.14,3.98,4.74,-102.77,-48.05,1.5517,1
1326,台化         ,199712,93843,11.23,10.1171,0.62216,0.60279,0.029891,0.061279,0.077884,0.059366,1.0501,125.21,69.33,3.42,13.07,81.48,-22.54,-23.2413,-1
1216,統一         ,199712,86176,13.11,3.662,0.79071,0.46755,0.1341,0.21591,0.01633,0.12768,0.61014,132.11,81.16,8.33,18.15,-50.73,135.35,-11.7468,1
2317,鴻海         ,199712,84447,11.05,1.5433,0.49046,0.23876,0.16352,0.3143,0.15485,0.15302,0.92206,169.03,118.42,7.48,5.15,74.5,96.61,54.5701,1
2342,茂矽         ,199712,80801,172.42,202.8471,10.4244,33.6758,0.018282,0.041933,-0.06176,0.16512,1.2936,74.89,47.87,2.5,5.66,-120.61,-55.91,-10.892,1
2356,英業達       ,199712,75266,16.59,2.18,0.8221,0.18599,0.201,0.34924,0.071353,0.084515,0.7375,193.15,139.8,11.32,8.59,-21.01,14.08,42.6763,1
2344,華邦電       ,199712,74714,21.86,10.0737,1.1823,3.2971,0.061667,0.10898,0.0015973,0.30417,0.76717,217.13,175.94,3.07,8.31,-98.9,48.32,11.5279,1
2201,裕隆         ,199712,70021,23.63,5.137,1.0805,0.54011,0.096684,0.19497,0.067381,0.099296,1.0166,160.09,121.3,8.23,5.44,139.42,232.01,1.1003,1
2337,旺宏         ,199712,64833,25.89,17.4932,1.4025,3.4986,0.044691,0.072898,0.14551,0.18196,0.63117,209.38,143.97,2.13,5.48,-52.91,-42.24,-29.5095,-1
1101,台泥         ,199712,63855,16.99,14.3983,0.8512,1.3201,0.027738,0.055006,0.048624,0.087847,0.98302,105.91,70.48,10.52,6.36,-38.88,15.43,-19.7175,1
1602,太電         ,199712,63145,22.82,12.2688,1.3722,3.5,0.046403,0.10564,0.011054,0.27219,1.2767,96.28,66.73,5.64,9.67,-89.85,419.62,-31.376,-1
2603,長榮         ,199712,59365,15.67,23.7424,0.83218,0.56489,0.013883,0.034887,0.0543,0.023688,1.5128,84.4,79.2,0,4.99,-48.51,-65.96,-16.8475,1
2610,華航         ,199712,58495,22.55,16.9549,1.0459,0.74056,0.024085,0.059384,0.033164,0.042044,1.4656,116.15,69.18,0,13.26,22.39,47.73,-14.8559,1
1102,亞泥         ,199712,58421,12.24,4.654,0.55865,1.2179,0.073584,0.11986,0.17365,0.26141,0.6289,111.77,88.93,7.77,3.15,-22.8,23.83,-10.7026,1
2308,台達電       ,199712,58071,20.97,4.0405,0.8338,0.4623,0.1213,0.20037,0.089133,0.11112,0.65176,297.69,238.18,8.18,4.59,32.79,53.62,-1.7644,1
2313,華通         ,199712,57819,64.51,8.5106,2.5052,1.9262,0.16087,0.29427,0.20311,0.22623,0.8293,166.32,120.63,7.3,5.39,55.41,88.61,57.1229,1
2501,國建         ,199712,56522,23.5,14.1566,1.6943,6.0881,0.091049,0.11941,0.15052,0.42931,0.3115,410.59,26.68,0.21,3.81,-56.58,37.94,-41.5319,-1
2204,中華         ,199712,52146,26.33,5.3625,1.0478,0.42688,0.11364,0.18947,0.076837,0.077188,0.66731,188.27,93.45,5.43,29.32,88.64,96.83,7.0642,1
8712,國產車       ,199712,50950,50.76,22.8649,2.4439,3.2622,0.04939,0.10336,-0.05802,0.13798,1.0927,109.02,73.84,2.68,2.19,-204.8,218.68,-100,-1
2325,矽品         ,199712,50373,17.27,6.4201,1.028,1.5283,0.10095,0.15989,0.25946,0.23767,0.58389,558.52,510.9,13.88,4.3,30.1,10.34,2.0266,1
2327,國巨         ,199712,49733,25.66,7.6826,0.93479,2.2391,0.065597,0.10822,0.105,0.25916,0.64976,161.3,141.55,5.72,5.87,61.89,123.61,-21.0055,-1
1504,東元         ,199712,49648,17.64,7.2295,0.73013,0.77573,0.061478,0.097489,0.065282,0.1036,0.58577,208.73,134.45,3.88,4.52,14,25.75,-25.7937,-1
2505,國揚         ,199712,43050,269.15,85.7166,11.4047,20.9618,0.061881,0.11835,0.20869,0.21753,0.91258,199.75,52.49,0.49,4.9,97.16,108.71,-100,-1
2206,三陽         ,199712,42344,29.83,19,1.762,0.68323,0.056907,0.092631,0.032922,0.03592,0.62775,157.85,102.34,11.75,25.58,-28.3,-16.83,-35.3336,-1
1802,台玻         ,199712,40500,14.74,5.2085,0.6904,1.2685,0.096103,0.12535,0.16389,0.24361,0.30434,454.78,362.14,3.86,6.73,-35.08,-8.95,-13.5007,1
1314,中石化       ,199712,36484,23.21,14.9742,1.2802,2.1411,0.042116,0.085291,0.054946,0.14267,1.0251,83.66,44.49,7.77,13.36,-25.27,20.57,-32.4429,-1
2912,統一超       ,199712,35761,23.67,7.2385,1.5961,0.24511,0.12509,0.22052,0.031129,0.033875,0.76288,100.72,59.64,26.07,185.94,29.52,3.42,24.9683,1
2323,中環         ,199712,34976,14.49,3.2344,0.68156,1.4984,0.11073,0.19098,-0.045803,0.42973,0.7248,185.65,155.11,4.21,4.11,-150.32,218.13,25.1898,1
2609,陽明         ,199712,34607,10.36,-86.3333,0.75897,0.47764,-0.0041627,-0.0078829,-0.022407,-0.0049601,0.89373,112.36,43.28,0,32.94,-127.17,-109.61,-3.3784,1
1462,東雲         ,199712,34500,80.36,151.6226,6.7473,7.574,0.016503,0.043946,0.063086,0.049567,1.6628,107.72,12.37,0.58,5.63,76.28,10.15,-60.0299,-1
1201,味全         ,199712,33147,64.44,-3222,4.3926,2.1086,-0.00060525,-0.0012666,-0.00081945,-0.00062142,1.0927,110.79,61.96,7.37,10.01,96.27,108.61,-75.7294,-1
1434,福懋         ,199712,31708,10.21,7.9766,0.77466,0.79332,0.063636,0.097181,0.13665,0.099469,0.52713,106.37,44.23,3.41,7.13,19.98,13.35,-19.8825,-1
2352,佳世達       ,199712,31646,20.01,5.8,0.79563,0.36257,0.072436,0.1241,0.053276,0.060051,0.71328,206.99,133.05,6.44,5.82,14.82,41.62,-8.9455,1
2339,合泰         ,199712,31054,33.4,14.4589,1.3773,4.9629,0.049265,0.071173,0.17022,0.25642,0.44469,519.03,465.06,2.83,5.29,28.11,93.49,-37.4551,-1
2515,中工         ,199712,30190,17.66,15.094,0.88922,0.91125,0.019525,0.053229,-0.069803,0.054565,1.7262,186.95,60.96,0.93,1.8,-832.03,1139.36,-48.5844,-1
2105,正新         ,199712,28399,10.59,9.2895,0.70884,0.59561,0.034601,0.076323,0.11165,0.064143,1.2058,116.37,62.81,3.62,7.07,29.69,-22.1,-8.7819,1
2506,太設         ,199712,25656,44.26,94.1702,3.4687,5.269,0.01233,0.036737,0.095631,0.055811,1.9796,145.58,27.59,0.33,2.52,18.03,-1.36,-45.7298,-1
